iter	Passed	Remaining
907	14393	4628
908	14407	4612
909	14420	4595
910	14434	4578
911	14447	4562
912	14460	4545
913	14475	4529
914	14489	4513
915	14503	4496
916	14518	4480
917	14533	4464
918	14546	4447
919	14561	4431
920	14576	4415
921	14588	4398
922	14602	4382
923	14617	4366
924	14632	4350
925	14646	4333
926	14660	4317
927	14674	4301
928	14688	4284
929	14702	4268
930	14716	4252
931	14731	4236
932	14748	4220
933	14764	4204
934	14782	4189
935	14800	4174
936	14820	4159
937	14840	4145
938	14860	4130
939	14877	4115
940	14894	4099
941	14910	4083
942	14926	4067
943	14940	4051
944	14956	4035
945	14969	4019
946	14984	4003
947	14996	3986
948	15010	3970
949	15025	3954
950	15040	3938
951	15055	3922
952	15069	3905
953	15084	3889
954	15099	3873
955	15113	3857
956	15126	3840
957	15139	3824
958	15152	3807
959	15166	3791
960	15181	3775
961	15195	3759
962	15209	3743
963	15224	3727
964	15237	3710
965	15250	3694
966	15264	3678
967	15281	3662
968	15297	3646
969	15310	3630
970	15325	3614
971	15339	3598
972	15352	3581
973	15365	3565
974	15379	3549
975	15393	3532
976	15407	3516
977	15421	3500
978	15435	3484
979	15452	3468
980	15467	3453
981	15482	3437
982	15497	3421
983	15511	3405
984	15526	3389
985	15540	3372
986	15553	3356
987	15566	3340
988	15582	3324
989	15596	3308
990	15609	3292
991	15624	3276
992	15637	3259
993	15651	3243
994	15665	3227
995	15679	3211
996	15692	3195
997	15706	3178
998	15720	3162
999	15737	3147
1000	15752	3131
1001	15766	3115
1002	15782	3099
1003	15799	3084
1004	15815	3068
1005	15830	3052
1006	15845	3036
1007	15860	3021
1008	15883	3006
1009	15899	2991
1010	15915	2975
1011	15929	2959
1012	15943	2943
1013	15956	2926
1014	15969	2910
1015	15982	2894
1016	15995	2878
1017	16008	2862
1018	16023	2846
1019	16036	2830
1020	16050	2813
1021	16064	2797
1022	16079	2782
1023	16092	2765
1024	16104	2749
1025	16118	2733
1026	16131	2717
1027	16143	2701
1028	16156	2684
1029	16170	2668
1030	16184	2652
1031	16199	2637
1032	16213	2621
1033	16226	2605
1034	16241	2589
1035	16259	2573
1036	16273	2557
1037	16289	2542
1038	16306	2526
1039	16320	2510
1040	16335	2495
1041	16351	2479
1042	16365	2463
1043	16380	2447
1044	16393	2431
1045	16408	2415
1046	16423	2400
1047	16438	2384
1048	16455	2368
1049	16474	2353
1050	16496	2338
1051	16516	2323
1052	16537	2308
1053	16554	2293
1054	16576	2278
1055	16595	2262
1056	16616	2248
1057	16634	2232
1058	16654	2217
1059	16672	2202
1060	16688	2186
1061	16705	2170
1062	16724	2155
1063	16740	2139
1064	16757	2124
1065	16775	2108
1066	16792	2093
1067	16807	2077
1068	16824	2061
1069	16841	2046
1070	16859	2030
1071	16878	2015
1072	16895	1999
1073	16927	1985
1074	16942	1970
1075	16959	1954
1076	16974	1938
1077	16988	1922
1078	17004	1906
1079	17019	1891
1080	17034	1875
1081	17050	1859
1082	17066	1843
1083	17081	1827
1084	17097	1812
1085	17113	1796
1086	17131	1780
1087	17150	1765
1088	17166	1749
1089	17183	1734
1090	17199	1718
1091	17214	1702
1092	17230	1686
1093	17245	1670
1094	17261	1655
1095	17277	1639
1096	17293	1623
1097	17310	1608
1098	17327	1592
1099	17343	1576
1100	17360	1560
1101	17376	1545
1102	17391	1529
1103	17407	1513
1104	17426	1498
1105	17442	1482
1106	17458	1466
1107	17475	1451
1108	17492	1435
1109	17508	1419
